6
 num     #instances         #bytes  class name
 122:            29           2944  [Ljava.lang.invoke.MethodHandle;
 123:            72           2880  io.netty.buffer.PoolChunkList
 124:           180           2880  sun.misc.ProxyGenerator$ConstantPool$ValueEntry
 125:           118           2832  java.beans.MethodRef
 126:            88           2816  org.apache.log4j.ProvisionNode
 127:           117           2808  org.jetbrains.jps.model.java.impl.JpsJavaDependencyExtensionImpl
 128:           117           2808  org.jetbrains.jps.model.module.impl.JpsLibraryDependencyImpl
 129:            27           2808  sun.net.www.protocol.file.FileURLConnection
 130:           115           2760  java.util.LinkedList$Node
 131:            49           2744  com.intellij.util.containers.SLRUMap$1
 132:            49           2744  com.intellij.util.containers.SLRUMap$2
 133:            68           2720  org.jdom.Attribute
 134:           112           2688  com.sun.org.apache.xerces.internal.util.SymbolTable$Entry
 135:            48           2688  jdk.internal.org.objectweb.asm.AnnotationWriter
 136:           152           2632  [Lsun.reflect.generics.tree.TypeArgument;
 137:           156           2496  java.lang.ref.ReferenceQueue$Lock
 138:           102           2448  java.io.ExpiringCache$Entry
 139:           149           2384  sun.reflect.DelegatingConstructorAccessorImpl
 140:            72           2304  io.netty.buffer.PoolThreadCache$SubPageMemoryRegionCache
 141:            47           2256  java.util.zip.Inflater
 142:            53           2120  java.security.ProtectionDomain
 143:            37           2072  [Lcom.sun.org.apache.xerces.internal.utils.XMLSecurityManager$Limit;
 144:            86           2064  sun.nio.ch.NativeThreadSet
 145:            86           2064  sun.reflect.generics.factory.CoreReflectionFactory
 146:           129           2064  sun.reflect.generics.tree.ClassTypeSignature
 147:            43           2064  sun.util.locale.LocaleObjectCache$CacheEntry
 148:           128           2048  java.lang.Character
 149:            51           2040  java.util.HashMap$EntryIterator
 150:            28           2016  java.beans.PropertyDescriptor
 151:            84           2016  java.lang.Class$MethodArray
 152:            84           2016  sun.reflect.generics.scope.ClassScope
 153:            62           1984  io.netty.util.internal.LongAdderCounter
 154:           122           1952  org.jetbrains.jps.model.impl.JpsDummyElementImpl
 155:            22           1936  com.intellij.util.io.PagedFileStorage
